{'ts': '20201217_161021_443', 'ring_rad': -2.367879054120329, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_457', 'ring_rad': -2.3240858218901383, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_465', 'ring_rad': -2.3384172703475303, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_470', 'ring_rad': -2.2483552172578425, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_476', 'ring_rad': -2.332382885460417, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_484', 'ring_rad': -2.334012451386369, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_491', 'ring_rad': -2.366863701179255, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_497', 'ring_rad': -2.341316515717028, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_503', 'ring_rad': -2.326825972174838, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_513', 'ring_rad': -2.344041120499154, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_518', 'ring_rad': -2.298878051487909, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_524', 'ring_rad': -2.3198312951768223, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_528', 'ring_rad': -2.3844361592965884, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_538', 'ring_rad': -2.300944926613343, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_543', 'ring_rad': -2.3652363842629307, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_549', 'ring_rad': -2.3923729692376092, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_557', 'ring_rad': -2.275109808878252, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_564', 'ring_rad': -2.361117316619383, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_577', 'ring_rad': -2.3009761117787586, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_589', 'ring_rad': -2.3341566154603117, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_595', 'ring_rad': -2.3551751019469425, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_601', 'ring_rad': -2.3117990092103593, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_609', 'ring_rad': -2.3924438458858437, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_616', 'ring_rad': -2.402935824643123, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_622', 'ring_rad': -2.327696058018014, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_627', 'ring_rad': -2.315181645287959, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_637', 'ring_rad': -2.450148901071063, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_643', 'ring_rad': -2.3301958271247365, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_648', 'ring_rad': -2.369888030814269, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_656', 'ring_rad': -2.4301265895042667, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_662', 'ring_rad': -2.336503926240636, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_668', 'ring_rad': -2.3579486117480526, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_675', 'ring_rad': -2.343917248530018, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_683', 'ring_rad': -2.403140098858457, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_688', 'ring_rad': -2.2366728830704585, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_700', 'ring_rad': -2.358233941023059, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_713', 'ring_rad': -2.4221997730952682, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_718', 'ring_rad': -2.288067384012639, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_724', 'ring_rad': -2.371385976920596, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_733', 'ring_rad': -2.33819752478128, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_739', 'ring_rad': -2.3896803195809824, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_743', 'ring_rad': -2.3580149343312415, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_750', 'ring_rad': -2.3156672370488476, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_758', 'ring_rad': -2.476825626433009, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_762', 'ring_rad': -2.365378772720466, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_768', 'ring_rad': -2.4847026839929054, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_774', 'ring_rad': -2.391858937619861, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_781', 'ring_rad': -2.4061968822763076, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_788', 'ring_rad': -2.3999533585012855, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_794', 'ring_rad': -2.3825953858463955, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_800', 'ring_rad': -2.363616892196745, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_807', 'ring_rad': -2.3717168207456854, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_814', 'ring_rad': -2.3647077368668934, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_821', 'ring_rad': -2.3850156777768308, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_838', 'ring_rad': -2.38591103399658, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_843', 'ring_rad': -2.3041295366731296, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_849', 'ring_rad': -2.391300911400079, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_858', 'ring_rad': -2.297519960364449, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_864', 'ring_rad': -2.45689843548035, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_869', 'ring_rad': -2.3942109396881324, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_877', 'ring_rad': -2.466532030589839, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_886', 'ring_rad': -2.3321028682458778, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_892', 'ring_rad': -2.2686620425979642, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_898', 'ring_rad': -2.4318756298927373, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_906', 'ring_rad': -2.413936727987621, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_914', 'ring_rad': -2.449314377308448, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_921', 'ring_rad': -2.3984548403625365, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_928', 'ring_rad': -2.4409693167957376, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_937', 'ring_rad': -2.3673641382551045, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_943', 'ring_rad': -2.4569072396875473, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_962', 'ring_rad': -2.3232225633076116, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_968', 'ring_rad': -2.454575307378739, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_974', 'ring_rad': -2.448790375604974, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_983', 'ring_rad': -2.4198488065925012, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_989', 'ring_rad': -2.39605566897908, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161021_997', 'ring_rad': -2.4897971460564787, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_005', 'ring_rad': -2.465031918611248, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_014', 'ring_rad': -2.3826384393735753, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_021', 'ring_rad': -2.3464909995276706, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_027', 'ring_rad': -2.358214269496401, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_035', 'ring_rad': -2.3465618439117994, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_042', 'ring_rad': -2.4248012839007758, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_047', 'ring_rad': -2.481985506319544, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_055', 'ring_rad': -2.4182658129465713, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_062', 'ring_rad': -2.4868201059453976, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_073', 'ring_rad': -2.406903398719333, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_089', 'ring_rad': -2.409686102164764, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_097', 'ring_rad': -2.407727185474603, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_103', 'ring_rad': -2.4669499015693694, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_109', 'ring_rad': -2.365543935170097, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_119', 'ring_rad': -2.425642224336869, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_125', 'ring_rad': -2.5013232660108815, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_133', 'ring_rad': -2.3777651066199414, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_143', 'ring_rad': -2.4279500162566467, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_149', 'ring_rad': -2.425198496815834, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_157', 'ring_rad': -2.492714832130416, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_162', 'ring_rad': -2.405795741057424, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_170', 'ring_rad': -2.440857212564035, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_177', 'ring_rad': -2.4127843613635247, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_184', 'ring_rad': -2.431465280933055, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_193', 'ring_rad': -2.5652889715425324, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_199', 'ring_rad': -2.453227638261517, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_219', 'ring_rad': -2.4943617391858055, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_225', 'ring_rad': -2.4209217174049, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_232', 'ring_rad': -2.463642678109322, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_240', 'ring_rad': -2.492831826331761, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_247', 'ring_rad': -2.525128839376219, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_254', 'ring_rad': -2.551166512363413, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_261', 'ring_rad': -2.561660449326052, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_270', 'ring_rad': -2.4829831208119635, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_277', 'ring_rad': -2.4766070216728164, 'Vout': 2.25, 'pic value': -2.25}
{'ts': '20201217_161022_283', 'ring_rad': -2.488353403416593, 'Vout': 2.25, 'pic value': -2.25}
