{'pic value': -0.05692704243807642, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_783', 'Vout': 0.443}
{'pic value': -0.056936873759396163, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_819', 'Vout': 0.443}
{'pic value': -0.056947550488131611, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_857', 'Vout': 0.443}
{'pic value': -0.056959045198641235, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_885', 'Vout': 0.443}
{'pic value': -0.05697133109562337, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_913', 'Vout': 0.443}
{'pic value': -0.056984382001409706, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_947', 'Vout': 0.443}
{'pic value': -0.056998172343497681, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161045_976', 'Vout': 0.443}
{'pic value': -0.057012677142317454, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_006', 'Vout': 0.443}
{'pic value': -0.057027871999229235, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_032', 'Vout': 0.443}
{'pic value': -0.05704373308474682, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_062', 'Vout': 0.443}
{'pic value': -0.056956663632880898, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161046_091', 'Vout': 0.443}
{'pic value': -0.056961418779027925, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_122', 'Vout': 0.443}
{'pic value': -0.056967164259290319, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_155', 'Vout': 0.443}
{'pic value': -0.056973869452693844, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_184', 'Vout': 0.443}
{'pic value': -0.056981504431701843, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_217', 'Vout': 0.443}
{'pic value': -0.056990039948337012, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_252', 'Vout': 0.443}
{'pic value': -0.056999447420563024, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_290', 'Vout': 0.443}
{'pic value': -0.057009698918921319, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_332', 'Vout': 0.443}
{'pic value': -0.057020767153418389, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_364', 'Vout': 0.443}
{'pic value': -0.057032625460659118, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_400', 'Vout': 0.443}
{'pic value': -0.057045247791221811, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_430', 'Vout': 0.443}
{'pic value': -0.057058608697270405, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_460', 'Vout': 0.443}
{'pic value': -0.057072683320399789, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_490', 'Vout': 0.443}
{'pic value': -0.057087447379709812, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_523', 'Vout': 0.443}
{'pic value': -0.057102877160104155, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_555', 'Vout': 0.443}
{'pic value': -0.057118949500809674, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_584', 'Vout': 0.443}
{'pic value': -0.057135641784112484, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_614', 'Vout': 0.443}
{'pic value': -0.057152931924306809, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_644', 'Vout': 0.443}
{'pic value': -0.057170798356852674, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_677', 'Vout': 0.443}
{'pic value': -0.057189220027738838, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_709', 'Vout': 0.443}
{'pic value': -0.05720817638304701, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_747', 'Vout': 0.443}
{'pic value': -0.057227647358713961, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_776', 'Vout': 0.443}
{'pic value': -0.057247613370487824, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_809', 'Vout': 0.443}
{'pic value': -0.057268055304075069, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_839', 'Vout': 0.443}
{'pic value': -0.05728895450547463, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_875', 'Vout': 0.443}
{'pic value': -0.057310292771496033, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_904', 'Vout': 0.443}
{'pic value': -0.057332052340457899, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_934', 'Vout': 0.443}
{'pic value': -0.057354215883063726, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_961', 'Vout': 0.443}
{'pic value': -0.057376766493451678, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161046_993', 'Vout': 0.443}
{'pic value': -0.057399687680415208, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_023', 'Vout': 0.443}
{'pic value': -0.057422963358791441, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_055', 'Vout': 0.443}
{'pic value': -0.057446577841014222, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_086', 'Vout': 0.443}
{'pic value': -0.057470515828828901, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_121', 'Vout': 0.443}
{'pic value': -0.057494762405165822, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_161', 'Vout': 0.443}
{'pic value': -0.057415729532067375, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_194', 'Vout': 0.443}
{'pic value': -0.057428180892095441, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_226', 'Vout': 0.443}
{'pic value': -0.057441290591106281, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_263', 'Vout': 0.443}
{'pic value': -0.057455036203859736, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_296', 'Vout': 0.443}
{'pic value': -0.057469395827863493, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_328', 'Vout': 0.443}
{'pic value': -0.057484348072764396, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_358', 'Vout': 0.443}
{'pic value': -0.057499872049939872, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_391', 'Vout': 0.443}
{'pic value': -0.057515947362286178, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_421', 'Vout': 0.442}
{'pic value': -0.057532554094199467, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_453', 'Vout': 0.442}
{'pic value': -0.057549672801746554, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_486', 'Vout': 0.442}
{'pic value': -0.059018687216031727, 'cutoff_wavelength': 568.11883029182604, 'ts': '20170428_161047_515', 'Vout': 0.441}
{'pic value': -0.059210105225990996, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_548', 'Vout': 0.441}
{'pic value': -0.059396482301869141, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_579', 'Vout': 0.441}
{'pic value': -0.059577926276656035, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161047_611', 'Vout': 0.44}
{'pic value': -0.059650969393312749, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_641', 'Vout': 0.44}
{'pic value': -0.059706919698437444, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_674', 'Vout': 0.44}
{'pic value': -0.059746271145689915, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_709', 'Vout': 0.44}
{'pic value': -0.059769506751673411, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_739', 'Vout': 0.44}
{'pic value': -0.059777098812375702, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_773', 'Vout': 0.44}
{'pic value': -0.059769509115585706, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_835', 'Vout': 0.44}
{'pic value': -0.059747189149357435, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_904', 'Vout': 0.44}
{'pic value': -0.059710580306592168, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161047_966', 'Vout': 0.44}
{'pic value': -0.059660114085808062, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_023', 'Vout': 0.44}
{'pic value': -0.05959621228816557, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_066', 'Vout': 0.44}
{'pic value': -0.059622860704917999, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_111', 'Vout': 0.44}
{'pic value': -0.059545684457923277, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_164', 'Vout': 0.44}
{'pic value': -0.059559462969494409, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_209', 'Vout': 0.44}
{'pic value': -0.059469812242752482, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_247', 'Vout': 0.44}
{'pic value': -0.059367929269251864, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_299', 'Vout': 0.441}
{'pic value': -0.059254199155154542, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_351', 'Vout': 0.441}
{'pic value': -0.059128998235954709, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_400', 'Vout': 0.441}
{'pic value': -0.058992694252499395, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_444', 'Vout': 0.441}
{'pic value': -0.058845646523708543, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_486', 'Vout': 0.441}
{'pic value': -0.058688206116053944, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_520', 'Vout': 0.441}
{'pic value': -0.058520716009855298, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_562', 'Vout': 0.441}
{'pic value': -0.058447084756552733, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_601', 'Vout': 0.442}
{'pic value': -0.058272861789582714, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_640', 'Vout': 0.442}
{'pic value': -0.058192752365124847, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_680', 'Vout': 0.442}
{'pic value': -0.058115873307976927, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_724', 'Vout': 0.442}
{'pic value': -0.05793857254188868, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_770', 'Vout': 0.442}
{'pic value': -0.057855550971834785, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_816', 'Vout': 0.442}
{'pic value': -0.057775921163422547, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_858', 'Vout': 0.442}
{'pic value': -0.05915100307856036, 'cutoff_wavelength': 568.11883029182604, 'ts': '20170428_161048_900', 'Vout': 0.441}
{'pic value': -0.059147668604913231, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161048_940', 'Vout': 0.441}
{'pic value': -0.05923318980513817, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161048_976', 'Vout': 0.441}
{'pic value': -0.059213228891613262, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161049_016', 'Vout': 0.441}
{'pic value': -0.059179028153382746, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161049_053', 'Vout': 0.441}
{'pic value': -0.059131017099254272, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161049_092', 'Vout': 0.441}
{'pic value': -0.059069615589144427, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161049_132', 'Vout': 0.441}
{'pic value': -0.058995234026423371, 'cutoff_wavelength': 570.01339330119617, 'ts': '20170428_161049_167', 'Vout': 0.441}
{'pic value': -0.059011847040769776, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161049_203', 'Vout': 0.441}
{'pic value': -0.059028642318272762, 'cutoff_wavelength': 569.88720068822886, 'ts': '20170428_161049_233', 'Vout': 0.441}
{'pic value': -0.060497013430636987, 'cutoff_wavelength': 568.11883029182604, 'ts': '20170428_161049_270', 'Vout': 0.44}
