{'pic value': 0.028991031835821232, 'ts': '20171130_100046_045', 'ring_rad': 99.68372589805712, 'Vout': 0.528975}
{'pic value': 0.028899298268130036, 'ts': '20171130_100046_052', 'ring_rad': 99.71249463827083, 'Vout': 0.528881}
{'pic value': 0.029015814706535022, 'ts': '20171130_100046_061', 'ring_rad': 99.70065023419298, 'Vout': 0.528996}
{'pic value': 0.029068021964660372, 'ts': '20171130_100046_069', 'ring_rad': 99.70267006816223, 'Vout': 0.529047}
{'pic value': 0.029286640017708355, 'ts': '20171130_100046_076', 'ring_rad': 99.67258155196373, 'Vout': 0.529263}
{'pic value': 0.029356531818287113, 'ts': '20171130_100046_085', 'ring_rad': 99.67341266711821, 'Vout': 0.529331}
{'pic value': 0.029214575730882875, 'ts': '20171130_100046_092', 'ring_rad': 99.71742541260856, 'Vout': 0.529188}
{'pic value': 0.029148282722015417, 'ts': '20171130_100046_101', 'ring_rad': 99.74679704292292, 'Vout': 0.529121}
{'pic value': 0.029004892208486167, 'ts': '20171130_100046_108', 'ring_rad': 99.7916858468707, 'Vout': 0.528978}
{'pic value': 0.028983179888415162, 'ts': '20171130_100046_118', 'ring_rad': 99.81210477041526, 'Vout': 0.528956}
{'pic value': 0.0293144384603125, 'ts': '20171130_100046_127', 'ring_rad': 99.76211756846031, 'Vout': 0.529287}
{'pic value': 0.029115656918696105, 'ts': '20171130_100046_134', 'ring_rad': 99.81800486007646, 'Vout': 0.529089}
{'pic value': 0.02913759421336486, 'ts': '20171130_100046_142', 'ring_rad': 99.82943631423906, 'Vout': 0.529111}
{'pic value': 0.029121848864401275, 'ts': '20171130_100046_151', 'ring_rad': 99.84794800131452, 'Vout': 0.529097}
{'pic value': 0.02901081945437279, 'ts': '20171130_100046_163', 'ring_rad': 99.88477819806305, 'Vout': 0.528987}
{'pic value': 0.029015006302104702, 'ts': '20171130_100046_171', 'ring_rad': 99.89769390887282, 'Vout': 0.528993}
{'pic value': 0.028962629761501147, 'ts': '20171130_100046_178', 'ring_rad': 99.92089190102196, 'Vout': 0.528942}
{'pic value': 0.028933690062426614, 'ts': '20171130_100046_187', 'ring_rad': 99.93824273216279, 'Vout': 0.528915}
{'pic value': 0.028975667025295724, 'ts': '20171130_100046_194', 'ring_rad': 99.94024591990066, 'Vout': 0.528959}
{'pic value': 0.028891862400161755, 'ts': '20171130_100046_203', 'ring_rad': 99.96609380689003, 'Vout': 0.528877}
{'pic value': 0.028786655473314802, 'ts': '20171130_100046_213', 'ring_rad': 99.99470728610483, 'Vout': 0.528775}
{'pic value': 0.028690052680281554, 'ts': '20171130_100046_220', 'ring_rad': 100.01990915802673, 'Vout': 0.528681}
{'pic value': 0.028788953885545473, 'ts': '20171130_100046_229', 'ring_rad': 100.00444668403546, 'Vout': 0.528783}
{'pic value': 0.02880137768153375, 'ts': '20171130_100046_236', 'ring_rad': 100.00479766442014, 'Vout': 0.528797}
{'pic value': 0.028708611057437793, 'ts': '20171130_100046_244', 'ring_rad': 100.02461675769747, 'Vout': 0.528707}
{'pic value': 0.0285403885466586, 'ts': '20171130_100046_253', 'ring_rad': 100.05774348092224, 'Vout': 0.528542}
{'pic value': 0.02857111268389607, 'ts': '20171130_100046_260', 'ring_rad': 100.04936490797796, 'Vout': 0.528576}
{'pic value': 0.028515149162724743, 'ts': '20171130_100046_269', 'ring_rad': 100.0566346618728, 'Vout': 0.528523}
{'pic value': 0.028522055380596954, 'ts': '20171130_100046_276', 'ring_rad': 100.04974099037828, 'Vout': 0.528532}
{'pic value': 0.02852677100620009, 'ts': '20171130_100046_285', 'ring_rad': 100.04182456492978, 'Vout': 0.528539}
{'pic value': 0.028504999941893504, 'ts': '20171130_100046_295', 'ring_rad': 100.03784249624623, 'Vout': 0.52852}
{'pic value': 0.028482456661876435, 'ts': '20171130_100046_302', 'ring_rad': 100.03274749021931, 'Vout': 0.528499}
{'pic value': 0.02834021068784285, 'ts': '20171130_100046_311', 'ring_rad': 100.05025858263313, 'Vout': 0.528359}
{'pic value': 0.028467244568964278, 'ts': '20171130_100046_319', 'ring_rad': 100.0128671239468, 'Vout': 0.528488}
{'pic value': 0.028407591650964053, 'ts': '20171130_100046_326', 'ring_rad': 100.01188059429657, 'Vout': 0.52843}
{'pic value': 0.028406882084239974, 'ts': '20171130_100046_338', 'ring_rad': 99.99830890858664, 'Vout': 0.52843}
{'pic value': 0.028376198360449075, 'ts': '20171130_100046_346', 'ring_rad': 99.99005087045174, 'Vout': 0.528401}
{'pic value': 0.028422955940514364, 'ts': '20171130_100046_355', 'ring_rad': 99.96583911440689, 'Vout': 0.528448}
{'pic value': 0.028425465290823633, 'ts': '20171130_100046_362', 'ring_rad': 99.95018636711092, 'Vout': 0.528451}
{'pic value': 0.028465450772446284, 'ts': '20171130_100046_371', 'ring_rad': 99.92695522217142, 'Vout': 0.528491}
{'pic value': 0.02859817335161282, 'ts': '20171130_100046_378', 'ring_rad': 99.88543716637535, 'Vout': 0.528623}
{'pic value': 0.028487416212810892, 'ts': '20171130_100046_385', 'ring_rad': 99.89288908872678, 'Vout': 0.528512}
{'pic value': 0.02843574000339489, 'ts': '20171130_100046_394', 'ring_rad': 99.88880802287277, 'Vout': 0.52846}
{'pic value': 0.02843149670533228, 'ts': '20171130_100046_401', 'ring_rad': 99.87561764154913, 'Vout': 0.528455}
{'pic value': 0.028573843665750564, 'ts': '20171130_100046_410', 'ring_rad': 99.83379736998496, 'Vout': 0.528596}
{'pic value': 0.02869799280712108, 'ts': '20171130_100046_417', 'ring_rad': 99.7966212768971, 'Vout': 0.528718}
{'pic value': 0.02872519317982853, 'ts': '20171130_100046_426', 'ring_rad': 99.77998927085709, 'Vout': 0.528743}
{'pic value': 0.028749828997983815, 'ts': '20171130_100046_434', 'ring_rad': 99.76511972473507, 'Vout': 0.528766}
{'pic value': 0.028798959852100094, 'ts': '20171130_100046_443', 'ring_rad': 99.74671427940227, 'Vout': 0.528812}
{'pic value': 0.028713071500148377, 'ts': '20171130_100046_450', 'ring_rad': 99.75658919097337, 'Vout': 0.528725}
{'pic value': 0.02884455538373875, 'ts': '20171130_100046_459', 'ring_rad': 99.7244327840487, 'Vout': 0.528854}
{'pic value': 0.028886201692447516, 'ts': '20171130_100046_467', 'ring_rad': 99.7117818445645, 'Vout': 0.528893}
{'pic value': 0.02912726445793832, 'ts': '20171130_100046_477', 'ring_rad': 99.6611136121285, 'Vout': 0.52913}
{'pic value': 0.02896808146302314, 'ts': '20171130_100046_486', 'ring_rad': 99.69215961000246, 'Vout': 0.528969}
{'pic value': 0.029030377074698983, 'ts': '20171130_100046_493', 'ring_rad': 99.68054192563413, 'Vout': 0.529028}
{'pic value': 0.029055597549996627, 'ts': '20171130_100046_502', 'ring_rad': 99.67794973658268, 'Vout': 0.529051}
{'pic value': 0.029224865165595946, 'ts': '20171130_100046_513', 'ring_rad': 99.64831461927298, 'Vout': 0.529217}
{'pic value': 0.029199620129366617, 'ts': '20171130_100046_520', 'ring_rad': 99.65925632214845, 'Vout': 0.529189}
{'pic value': 0.02937729927265285, 'ts': '20171130_100046_529', 'ring_rad': 99.63140385953996, 'Vout': 0.529363}
{'pic value': 0.029168389655100872, 'ts': '20171130_100046_536', 'ring_rad': 99.6822777680866, 'Vout': 0.529153}
{'pic value': 0.02936892355735305, 'ts': '20171130_100046_545', 'ring_rad': 99.6527388873761, 'Vout': 0.52935}
{'pic value': 0.029401109092229403, 'ts': '20171130_100046_552', 'ring_rad': 99.65830094560911, 'Vout': 0.52938}
{'pic value': 0.0295519582757041, 'ts': '20171130_100046_559', 'ring_rad': 99.64161529639749, 'Vout': 0.529529}
{'pic value': 0.029574436156675314, 'ts': '20171130_100046_568', 'ring_rad': 99.65198636283908, 'Vout': 0.529549}
{'pic value': 0.02961380983965796, 'ts': '20171130_100046_575', 'ring_rad': 99.66022924569319, 'Vout': 0.529586}
{'pic value': 0.02967798826243072, 'ts': '20171130_100046_584', 'ring_rad': 99.66466617108527, 'Vout': 0.529649}
{'pic value': 0.0295627115440191, 'ts': '20171130_100046_592', 'ring_rad': 99.70580115663813, 'Vout': 0.529532}
{'pic value': 0.029525445725953715, 'ts': '20171130_100046_599', 'ring_rad': 99.73184886919398, 'Vout': 0.529494}
{'pic value': 0.029599283585733903, 'ts': '20171130_100046_608', 'ring_rad': 99.7360914942766, 'Vout': 0.529567}
{'pic value': 0.029651571057757394, 'ts': '20171130_100046_615', 'ring_rad': 99.74496942459525, 'Vout': 0.529619}
{'pic value': 0.029876694111254407, 'ts': '20171130_100046_625', 'ring_rad': 99.71975353073897, 'Vout': 0.529843}
{'pic value': 0.029673655277639842, 'ts': '20171130_100046_632', 'ring_rad': 99.78023404045925, 'Vout': 0.529641}
{'pic value': 0.02969754860299832, 'ts': '20171130_100046_641', 'ring_rad': 99.79517235942718, 'Vout': 0.529665}
{'pic value': 0.029504603203442066, 'ts': '20171130_100046_651', 'ring_rad': 99.85288579882071, 'Vout': 0.529473}
